Company,Year,Energy_Consumption,Female_Employees,GHG_Scope_1,GHG_Scope_2,Living_Wage_Policy,Modern_Slavery_Statement,Total_Waste_Generated,Total_Waste_Recycled,Water_Withdrawals,Total_Employees,Supplier_List,Supplied_By,Address
"Arvind Limited,2023, 9771300,8816,418910.94,174369.54,Living Wage Methodology described,,27878.78,20509.93,2503697.8,,,,""63/9, DODDATHOGUR-VILLAGE, BEGUR-HOBLI, ELECTRONIC CITY -POST, BANGALORE 560100   IN""",nan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ascena Retail Group Inc,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ascena Retail Group Inc,2018,NA,59850,NA,NA,No Living Wage Policy,NA,NA,NA,NA,63000,NA,NA,NA
Ascena Retail Group Inc,2019,1783575,43989,15823,196039,No Living Wage Policy,NA,NA,NA,NA,NA,NA,109,NA
"Ascena Retail Group Inc,2020,Unknown,Unknown,Unknown,Unknown,Living Wage mentioned,,Unknown,Unknown,Unknown,,""Yes, Tier 1 only"",,",nan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asics Corporation,2016,256680,NA,4439,23293,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asics Corporation,2017,245160,NA,4475,20968,NA,NA,NA,NA,NA,NA,NA,106,NA
Asics Corporation,2018,253440,NA,4064,20879,No Living Wage Policy,NA,3079,2440,72518,8823,NA,127,NA
"Asics Corporation,2019,262800,2766,3874,22137,No Living Wage Policy,,2983,2410,73016,,,,""1-1, Minatojima-Nakamachi 7-chome, Chuo-ku, Kobe, 650-8555, Japan",nan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASICS Europe B.V., Taurusavenue 165 , 2132 LS Hoofddorp, the Netherlands""",nan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asics Corporation,2020,231840,347,2873,20262,NA,NA,1569,1216,NA,998,NA,NA,NA
Asics Corporation,2021,232560,330,3071,19138,NA,NA,1674,1324,NA,916,NA,164,NA
Asics Corporation,2022,232560,3403,3071,NA,NA,NA,1674,1324,NA,8886,NA,125,NA
Asics Corporation,2023,245159.99,NA,3581,18077,No Living Wage Policy,NA,2461,2030,73497,NA,NA,92,NA
Asos,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA
Asos,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA
Asos,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,NA,NA,NA
Asos,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,NA,NA,NA
Asos,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,176,NA,NA,NA
Asos,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,370,NA,NA,NA
Asos,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,547,NA,NA,NA
Asos,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,657,NA,NA,NA
Asos,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,842,NA,NA,NA
Asos,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164,NA,NA,NA
Asos,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,1627,NA,NA,NA
Asos,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,1892,NA,NA,NA
Asos,2016,NA,NA,778,4882,NA,NA,NA,NA,NA,2381,NA,NA,NA
Asos,2017,NA,NA,1189,5204,NA,NA,NA,NA,NA,3164,NA,541,NA
Asos,2018,NA,2807,1885,6920,Living Wage Methodology described,NA,NA,NA,NA,4386,NA,NA,NA
"Asos,2019,Unknown,Unknown,3279,11979,Living Wage Methodology described,,Unknown,Unknown,Unknown,,,561,""Greater London House",nan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hampstead Road,nan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
London,nan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NW1 7FB,nan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United Kingdom""",nan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asos,2020,NA,NA,3177,11497,NA,NA,NA,NA,NA,NA,NA,1012,NA
Asos,2021,NA,NA,3602,11338,NA,NA,NA,NA,NA,3126,NA,952,Greater London House Hampstead Road London England NW1 7FB
Asos,2022,NA,NA,3351,3150,NA,NA,NA,NA,NA,3351,NA,707,Greater London House Hampstead Road London England NW1 7FB
Asos,2023,194025.6,NA,2785,10770,Living Wage Methodology described,NA,NA,NA,NA,3042,NA,621,NA
Asset Value Investors Ltd.,2020,NA,NA,NA,NA,NA,No - neither,NA,NA,NA,NA,NA,NA,NA
